tanggal,produk,kota,harga_satuan,jumlah,pendapatan
2025-03-30,Kopi Susu,Jakarta,18000,2,36000
2025-12-04,Mie Ayam,Yogyakarta,20000,1,20000
2025-04-21,Roti Bakar,Medan,15000,7,105000
2025-10-03,Roti Bakar,Bandung,15000,7,105000
2025-02-01,Es Jeruk,Surabaya,10000,8,80000
2025-05-23,Croissant,Surabaya,22000,2,44000
2025-09-04,Kopi Susu,Jakarta,18000,5,90000
2025-04-03,Roti Bakar,Surabaya,15000,7,105000
2025-04-22,Es Jeruk,Jakarta,10000,7,70000
2025-05-07,Nasi Goreng,Surabaya,25000,8,200000
2025-08-04,Mie Ayam,Medan,20000,8,160000
2025-02-21,Smoothie Bowl,Yogyakarta,35000,6,210000
2025-06-05,Nasi Goreng,Yogyakarta,25000,6,150000
2025-05-20,Roti Bakar,Yogyakarta,15000,1,15000
2025-06-27,Teh Tarik,Bandung,12000,7,84000
2025-04-19,Croissant,Medan,22000,2,44000
2025-06-27,Croissant,Surabaya,22000,1,22000
2025-01-22,Teh Tarik,Surabaya,12000,4,48000
2025-06-15,Croissant,Yogyakarta,22000,6,132000
2025-05-13,Nasi Goreng,Yogyakarta,25000,8,200000
2025-03-30,Kopi Susu,Yogyakarta,18000,8,144000
2025-06-02,Mie Ayam,Bandung,20000,5,100000
2025-06-28,Smoothie Bowl,Jakarta,35000,6,210000
2025-06-15,Teh Tarik,Bandung,12000,3,36000
2025-04-20,Smoothie Bowl,Bandung,35000,4,140000
2025-07-06,Nasi Goreng,Yogyakarta,25000,8,200000
2025-06-30,Teh Tarik,Medan,12000,2,24000
2025-09-03,Smoothie Bowl,Medan,35000,6,210000
2025-04-28,Roti Bakar,Medan,15000,5,75000
2025-03-20,Teh Tarik,Bandung,12000,3,36000
2025-09-04,Croissant,Medan,22000,3,66000
2025-05-23,Roti Bakar,Bandung,15000,5,75000
2025-04-02,Kopi Susu,Yogyakarta,18000,8,144000
2025-06-25,Smoothie Bowl,Yogyakarta,35000,5,175000
2025-02-26,Es Jeruk,Medan,10000,1,10000
2025-07-05,Teh Tarik,Medan,12000,2,24000
2025-11-01,Smoothie Bowl,Jakarta,35000,4,140000
2025-09-01,Smoothie Bowl,Jakarta,35000,5,175000
2025-02-03,Nasi Goreng,Medan,25000,6,150000
2025-02-22,Nasi Goreng,Medan,25000,1,25000
2025-06-30,Es Jeruk,Medan,10000,5,50000
2025-04-16,Kopi Susu,Bandung,18000,5,90000
2025-03-24,Nasi Goreng,Medan,25000,7,175000
2025-01-20,Teh Tarik,Surabaya,12000,7,84000
2025-05-05,Mie Ayam,Jakarta,20000,1,20000
2025-02-04,Teh Tarik,Yogyakarta,12000,7,84000
2025-03-14,Mie Ayam,Yogyakarta,20000,3,60000
2025-01-12,Teh Tarik,Bandung,12000,8,96000
2025-02-21,Roti Bakar,Surabaya,15000,5,75000
2025-06-20,Roti Bakar,Surabaya,15000,1,15000
2025-01-24,Teh Tarik,Jakarta,12000,1,12000
2025-03-01,Kopi Susu,Yogyakarta,18000,6,108000
2025-01-23,Teh Tarik,Surabaya,12000,2,24000
2025-04-02,Roti Bakar,Jakarta,15000,2,30000
2025-02-24,Roti Bakar,Yogyakarta,15000,7,105000
2025-01-02,Croissant,Surabaya,22000,6,132000
2025-05-03,Es Jeruk,Surabaya,10000,1,10000
2025-11-04,Es Jeruk,Bandung,10000,1,10000
2025-02-06,Teh Tarik,Surabaya,12000,1,12000
2025-04-04,Roti Bakar,Jakarta,15000,8,120000
2025-11-01,Kopi Susu,Medan,18000,7,126000
2025-06-13,Roti Bakar,Jakarta,15000,5,75000
2025-05-18,Mie Ayam,Jakarta,20000,7,140000
2025-03-03,Kopi Susu,Yogyakarta,18000,5,90000
2025-06-20,Roti Bakar,Bandung,15000,2,30000
2025-05-14,Es Jeruk,Surabaya,10000,3,30000
2025-03-27,Croissant,Surabaya,22000,5,110000
2025-04-27,Mie Ayam,Medan,20000,1,20000
2025-05-27,Teh Tarik,Jakarta,12000,4,48000
2025-01-05,Mie Ayam,Bandung,20000,7,140000
2025-06-17,Croissant,Yogyakarta,22000,4,88000
2025-05-27,Mie Ayam,Jakarta,20000,2,40000
2025-04-13,Teh Tarik,Surabaya,12000,5,60000
2025-02-21,Es Jeruk,Bandung,10000,5,50000
2025-02-20,Nasi Goreng,Yogyakarta,25000,3,75000
2025-06-27,Kopi Susu,Yogyakarta,18000,6,108000
2025-05-16,Nasi Goreng,Jakarta,25000,7,175000
2025-12-01,Nasi Goreng,Surabaya,25000,7,175000
2025-05-10,Roti Bakar,Medan,15000,7,105000
2025-03-16,Es Jeruk,Yogyakarta,10000,6,60000
2025-11-03,Nasi Goreng,Bandung,25000,2,50000
2025-12-02,Smoothie Bowl,Jakarta,35000,8,280000
2025-03-20,Smoothie Bowl,Jakarta,35000,5,175000
2025-06-28,Kopi Susu,Surabaya,18000,4,72000
2025-12-04,Kopi Susu,Bandung,18000,5,90000
2025-05-21,Nasi Goreng,Bandung,25000,2,50000
2025-02-26,Roti Bakar,Surabaya,15000,4,60000
2025-05-31,Es Jeruk,Jakarta,10000,2,20000
2025-01-24,Mie Ayam,Yogyakarta,20000,2,40000
2025-12-04,Smoothie Bowl,Yogyakarta,35000,1,35000
2025-03-13,Smoothie Bowl,Medan,35000,3,105000
2025-05-21,Smoothie Bowl,Yogyakarta,35000,1,35000
2025-05-15,Nasi Goreng,Surabaya,25000,1,25000
2025-05-25,Mie Ayam,Jakarta,20000,7,140000
2025-03-13,Kopi Susu,Medan,18000,8,144000
2025-06-18,Nasi Goreng,Jakarta,25000,5,125000
2025-10-04,Mie Ayam,Medan,20000,3,60000
2025-01-06,Kopi Susu,Medan,18000,6,108000
2025-07-05,Es Jeruk,Jakarta,10000,5,50000
2025-03-05,Kopi Susu,Bandung,18000,6,108000
2025-03-24,Kopi Susu,Bandung,18000,1,18000
2025-01-19,Mie Ayam,Surabaya,20000,7,140000
2025-04-22,Smoothie Bowl,Medan,35000,6,210000
2025-02-27,Roti Bakar,Surabaya,15000,7,105000
2025-05-27,Croissant,Surabaya,22000,1,22000
2025-05-25,Teh Tarik,Jakarta,12000,8,96000
2025-01-23,Mie Ayam,Bandung,20000,8,160000
2025-01-28,Kopi Susu,Yogyakarta,18000,1,18000
2025-04-07,Mie Ayam,Yogyakarta,20000,7,140000
2025-02-27,Roti Bakar,Jakarta,15000,8,120000
2025-01-19,Mie Ayam,Bandung,20000,3,60000
2025-01-24,Mie Ayam,Yogyakarta,20000,8,160000
2025-10-02,Kopi Susu,Bandung,18000,2,36000
2025-05-19,Es Jeruk,Jakarta,10000,5,50000
2025-02-09,Kopi Susu,Jakarta,18000,6,108000
2025-02-21,Teh Tarik,Surabaya,12000,1,12000
2025-12-04,Smoothie Bowl,Surabaya,35000,8,280000
2025-08-04,Mie Ayam,Surabaya,20000,3,60000
2025-05-25,Kopi Susu,Jakarta,18000,3,54000
2025-05-31,Nasi Goreng,Medan,25000,1,25000
2025-02-05,Nasi Goreng,Yogyakarta,25000,8,200000
2025-05-13,Roti Bakar,Yogyakarta,15000,2,30000
2025-02-19,Roti Bakar,Yogyakarta,15000,1,15000
2025-02-06,Es Jeruk,Jakarta,10000,6,60000
2025-12-03,Smoothie Bowl,Medan,35000,1,35000
2025-08-02,Roti Bakar,Medan,15000,2,30000
2025-03-30,Croissant,Yogyakarta,22000,5,110000
2025-04-14,Roti Bakar,Surabaya,15000,7,105000
2025-10-03,Mie Ayam,Surabaya,20000,1,20000
2025-06-25,Teh Tarik,Yogyakarta,12000,4,48000
2025-04-06,Teh Tarik,Yogyakarta,12000,4,48000
2025-01-15,Roti Bakar,Medan,15000,2,30000
2025-05-26,Kopi Susu,Bandung,18000,3,54000
2025-03-04,Nasi Goreng,Yogyakarta,25000,5,125000
2025-08-01,Nasi Goreng,Yogyakarta,25000,6,150000
2025-03-31,Mie Ayam,Surabaya,20000,3,60000
2025-09-04,Kopi Susu,Bandung,18000,3,54000
2025-10-03,Croissant,Jakarta,22000,1,22000
2025-03-01,Nasi Goreng,Surabaya,25000,5,125000
2025-07-04,Mie Ayam,Yogyakarta,20000,8,160000
2025-05-30,Teh Tarik,Surabaya,12000,1,12000
2025-06-25,Teh Tarik,Surabaya,12000,8,96000
2025-06-16,Es Jeruk,Bandung,10000,4,40000
2025-03-06,Croissant,Jakarta,22000,6,132000
2025-04-18,Croissant,Medan,22000,7,154000
2025-02-26,Smoothie Bowl,Bandung,35000,6,210000
2025-01-25,Smoothie Bowl,Medan,35000,3,105000
2025-03-27,Teh Tarik,Surabaya,12000,4,48000
2025-05-30,Es Jeruk,Yogyakarta,10000,8,80000
2025-08-06,Teh Tarik,Medan,12000,8,96000
2025-04-16,Kopi Susu,Bandung,18000,3,54000
2025-04-28,Roti Bakar,Bandung,15000,6,90000
2025-02-15,Mie Ayam,Surabaya,20000,1,20000
2025-02-10,Smoothie Bowl,Yogyakarta,35000,2,70000
2025-09-04,Kopi Susu,Surabaya,18000,1,18000
2025-05-16,Nasi Goreng,Bandung,25000,1,25000
2025-01-27,Croissant,Jakarta,22000,5,110000
2025-02-06,Mie Ayam,Bandung,20000,7,140000
2025-02-18,Roti Bakar,Bandung,15000,7,105000
2025-05-31,Roti Bakar,Jakarta,15000,2,30000
2025-09-06,Kopi Susu,Jakarta,18000,1,18000
2025-01-02,Es Jeruk,Bandung,10000,8,80000
2025-06-19,Teh Tarik,Bandung,12000,5,60000
2025-06-08,Teh Tarik,Jakarta,12000,5,60000
2025-06-26,Smoothie Bowl,Jakarta,35000,6,210000
2025-06-21,Smoothie Bowl,Medan,35000,3,105000
2025-06-14,Nasi Goreng,Surabaya,25000,8,200000
2025-11-01,Es Jeruk,Surabaya,10000,6,60000
2025-12-01,Kopi Susu,Bandung,18000,3,54000
2025-10-03,Teh Tarik,Bandung,12000,6,72000
2025-09-04,Smoothie Bowl,Bandung,35000,5,175000
2025-10-02,Teh Tarik,Yogyakarta,12000,7,84000
2025-08-04,Mie Ayam,Bandung,20000,1,20000
2025-04-23,Kopi Susu,Surabaya,18000,2,36000
2025-05-28,Nasi Goreng,Medan,25000,6,150000
2025-03-30,Croissant,Medan,22000,5,110000
2025-10-02,Smoothie Bowl,Jakarta,35000,8,280000
2025-03-13,Kopi Susu,Yogyakarta,18000,4,72000
2025-05-27,Smoothie Bowl,Yogyakarta,35000,2,70000
2025-05-01,Teh Tarik,Medan,12000,7,84000
2025-08-06,Es Jeruk,Yogyakarta,10000,5,50000
2025-02-27,Smoothie Bowl,Medan,35000,6,210000
2025-04-26,Teh Tarik,Bandung,12000,2,24000
2025-03-16,Mie Ayam,Bandung,20000,2,40000
2025-04-15,Teh Tarik,Bandung,12000,5,60000
2025-02-18,Mie Ayam,Jakarta,20000,2,40000
2025-04-26,Smoothie Bowl,Jakarta,35000,3,105000
2025-05-30,Smoothie Bowl,Bandung,35000,3,105000
2025-03-06,Mie Ayam,Medan,20000,7,140000
2025-03-29,Es Jeruk,Bandung,10000,8,80000
